player_id,name,date_of_birth,idade,position,sub_position,posicao_projeto,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,cartoes,dados_completos
432157,Japa,2004-01-02,22.0,Midfield,Central Midfield,Meia,left,177.0,Brazil,Cruzeiro Esporte Clube,1000000.0,1000000.0,,,0,0,0,False
564919,João Neto,2003-05-21,23.0,Midfield,Central Midfield,Meia,right,186.0,Brazil,Red Bull Bragantino,125000.0,300000.0,,,1,0,0,False
611426,Matías Arezo,2002-11-21,23.0,Attack,Centre-Forward,Centroavante,right,177.0,Uruguay,Grêmio Foot-Ball Porto Alegrense,7000000.0,7500000.0,,,0,0,0,False
661270,Fabrizio Peralta,2002-08-02,23.0,Midfield,Central Midfield,Meia,right,176.0,Paraguay,Cruzeiro Esporte Clube,,,,,0,0,0,False
662326,Patryck,2003-01-18,23.0,Defender,Left-Back,Lateral,left,184.0,Brazil,São Paulo Futebol Clube,,,,,0,0,2,False
662327,Diego Rosa,2002-10-12,23.0,Midfield,Defensive Midfield,Volante,right,182.0,Brazil,Sport Club Internacional,2000000.0,2000000.0,,,0,0,0,False
662334,Marcelo Pitaluga,2002-12-20,23.0,Goalkeeper,Goalkeeper,Goleiro,right,193.0,Brazil,Fluminense Football Club,200000.0,400000.0,,,0,0,0,False
668228,Matheus Martins,2003-07-16,22.0,Attack,Left Winger,Ponta,right,183.0,Brazil,S. A. F. Botafogo,6000000.0,7000000.0,,,0,0,0,False
668234,Bruninho,2003-03-14,23.0,Midfield,Attacking Midfield,Meia,right,174.0,Brazil,Red Bull Bragantino,1000000.0,3000000.0,,,0,0,0,False
668265,Kayky,2003-06-11,23.0,Attack,Right Winger,Ponta,left,172.0,Brazil,Sport Club Internacional,5000000.0,14000000.0,,,2,0,3,False
668268,Marquinhos,2003-04-07,23.0,Attack,Right Winger,Ponta,left,175.0,Brazil,Cruzeiro Esporte Clube,2500000.0,12000000.0,,,0,0,3,False
668953,José Herrera,2003-04-16,23.0,Attack,Right Winger,Ponta,left,172.0,Argentina,Red Bull Bragantino,2500000.0,2500000.0,,,0,0,0,False
689211,Juan Nardoni,2002-07-14,23.0,Midfield,Central Midfield,Meia,right,180.0,Argentina,Grêmio Foot-Ball Porto Alegrense,9000000.0,11000000.0,,,0,0,0,False
738411,Adriano,2003-03-07,23.0,Goalkeeper,Goalkeeper,Goleiro,right,,Brazil,Sport Club do Recife,,,,,0,0,0,False
740491,Kelvi Gomes,2002-10-17,23.0,Midfield,Defensive Midfield,Volante,right,182.0,Brazil,Esporte Clube Juventude,,,,,0,0,0,False
743586,Mycael,2004-03-12,22.0,Goalkeeper,Goalkeeper,Goleiro,left,191.0,Brazil,Clube Atlético Paranaense,2000000.0,4000000.0,,,0,0,0,False
743588,Rômulo,2004-01-31,22.0,Defender,Centre-Back,Zagueiro,right,183.0,Brazil,Clube Atlético Mineiro,,,,,0,0,0,False
743593,Rodriguinho,2004-03-16,22.0,Midfield,Attacking Midfield,Meia,right,186.0,Brazil,Red Bull Bragantino,6000000.0,6000000.0,,,0,0,0,False
743597,Matheus França,2004-04-01,22.0,Midfield,Attacking Midfield,Meia,right,184.0,Brazil,Club de Regatas Vasco da Gama,6000000.0,15000000.0,,,0,0,0,False
743831,Renato Santos,2004-10-11,21.0,Defender,Centre-Back,Zagueiro,right,188.0,Brazil,Sport Club Corinthians Paulista,,,,,0,0,4,False
749559,Victor Hugo,2004-05-11,22.0,Midfield,Central Midfield,Meia,left,184.0,Brazil,Clube Atlético Mineiro,7000000.0,7000000.0,,,0,0,0,False
766258,Kaio César,2004-02-15,22.0,Attack,Right Winger,Ponta,left,168.0,Brazil,Sport Club Corinthians Paulista,4000000.0,5000000.0,,,0,0,4,False
796796,Ian Luccas,2003-02-11,23.0,Midfield,Defensive Midfield,Volante,right,188.0,Brazil,Cruzeiro Esporte Clube,,,,,0,0,2,False
816129,Vanderlan,2002-09-07,23.0,Defender,Left-Back,Lateral,left,183.0,Brazil,Red Bull Bragantino,3000000.0,4000000.0,,,1,0,6,False
816149,Andrey Quintino,2002-08-05,23.0,Attack,Right Winger,Ponta,right,176.0,Brazil,Santos Futebol Clube,,,,,0,0,0,False
828045,Miguel Monsalve,2004-02-27,22.0,Midfield,Attacking Midfield,Meia,right,178.0,Colombia,Grêmio Foot-Ball Porto Alegrense,3500000.0,6000000.0,,,0,0,0,False
834443,Tiago Cóser,2004-01-16,22.0,Defender,Centre-Back,Zagueiro,right,191.0,Brazil,Coritiba Foot Ball Club,1500000.0,1500000.0,,,0,0,0,False
834444,Victor Gabriel,2004-04-28,22.0,Defender,Centre-Back,Zagueiro,left,187.0,Brazil,Sport Club Internacional,5000000.0,5000000.0,,,0,0,0,False
834445,Serafim,2004-05-16,22.0,Defender,Centre-Back,Zagueiro,right,185.0,Brazil,S. A. F. Botafogo,,,,,2,0,7,False
834467,Kauê,2004-10-22,21.0,Midfield,Central Midfield,Meia,right,174.0,Brazil,S. A. F. Botafogo,,,,,0,0,0,False
834898,Vitinho,2004-11-11,21.0,Midfield,Defensive Midfield,Volante,,178.0,Brazil,Clube Atlético Mineiro,200000.0,200000.0,,,0,0,0,False
838386,Leandro Mathias,2004-11-14,21.0,Goalkeeper,Goalkeeper,Goleiro,left,188.0,Brazil,São Paulo Futebol Clube,,,,,0,0,0,False
838387,Léo Mana,2004-04-06,22.0,Defender,Right-Back,Lateral,right,179.0,Brazil,Sport Club Corinthians Paulista,,,,,0,0,0,False
839031,Leonel Pérez,2004-08-09,21.0,Midfield,Defensive Midfield,Volante,right,186.0,Argentina,Grêmio Foot-Ball Porto Alegrense,6000000.0,6000000.0,,,0,0,0,False
840431,Gustavo,2002-09-11,23.0,Midfield,Attacking Midfield,Meia,right,178.0,Brazil,Coritiba Foot Ball Club,500000.0,2000000.0,,,0,0,0,False
