player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto
472243,Lilian Egloff,2002-08-20,23.0,Midfield,Attacking Midfield,right,182.0,Germany,Verein für Bewegungsspiele Stuttgart 1893,800000.0,1500000.0,21,380,0,0,Meia
503160,Paul Nebel,2002-10-10,23.0,Midfield,Attacking Midfield,both,169.0,Germany,1. Fußball- und Sportverein Mainz 05,18000000.0,24000000.0,75,4697,15,9,Meia
504153,Joe Scally,2002-12-31,23.0,Defender,Right-Back,right,184.0,United States,Borussia Verein für Leibesübungen 1900 Mönchengladbach,7000000.0,12000000.0,153,11556,4,9,Lateral
504215,Giovanni Reyna,2002-11-13,23.0,Midfield,Attacking Midfield,right,187.0,United States,Borussia Verein für Leibesübungen 1900 Mönchengladbach,4000000.0,42000000.0,125,4496,16,13,Meia
505653,Fábio Silva,2002-07-19,23.0,Attack,Centre-Forward,right,185.0,Portugal,Borussia Dortmund,22000000.0,28000000.0,28,805,2,6,Centroavante
519872,Livan Burcu,2004-09-28,21.0,Attack,Left Winger,right,180.0,Türkiye,1. Fußballclub Union Berlin,4000000.0,4000000.0,18,645,1,1,Ponta
524290,Fisnik Asllani,2002-08-08,23.0,Attack,Centre-Forward,both,191.0,Kosovo,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,35000000.0,35000000.0,43,2525,10,9,Centroavante
539798,Luca Jaquez,2003-06-02,23.0,Defender,Centre-Back,right,187.0,Switzerland,Verein für Bewegungsspiele Stuttgart 1893,10000000.0,10000000.0,19,1152,0,1,Zagueiro
552057,Adam Hlozek,2002-07-25,23.0,Attack,Centre-Forward,right,188.0,Czech Republic,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,10000000.0,20000000.0,84,3651,15,10,Centroavante
565424,Johan Bakayoko,2003-04-20,23.0,Attack,Right Winger,left,179.0,Belgium,RasenBallsport Leipzig,20000000.0,45000000.0,20,774,2,0,Ponta
569031,Umut Tohumcu,2004-08-11,21.0,Midfield,Central Midfield,right,175.0,Germany,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,5000000.0,7000000.0,40,1649,0,3,Meia
569033,Armindo Sieb,2003-02-17,23.0,Attack,Second Striker,both,175.0,Germany,1. Fußball- und Sportverein Mainz 05,2500000.0,4000000.0,49,1286,4,3,Centroavante
