player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY_x,Performance_CrdR_x,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_CrdY_y,Performance_CrdR_y,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
466810,Ansu Fati,2002-10-31,23.0,Attack,Left Winger,right,178.0,Spain,Association sportive de Monaco Football Club,15000000.0,80000000.0,25,1085,11,0,Ponta,Ansu Fati,ESP,"MF,FW",22,2002,25,10,1093,12.1,11,0,11,8,3,4,1,0,0.91,0.0,0.91,0.66,0.66,11,43,24,55.8,3.54,1.98,0.19,0.33,3,4,1,0,0,9,6,3,8,2,9,,,0
538045,Kays Ruiz-Atil,2002-08-26,23.0,Midfield,Central Midfield,right,177.0,,Association de la Jeunesse auxerroise,750000.0,3000000.0,8,245,0,0,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538998,Timothée Pembélé,2002-09-09,23.0,Defender,Right-Back,right,183.0,France,Le Havre Athletic Club,1800000.0,7000000.0,71,3546,3,2,Lateral,Timothee Pembele,FRA,"MF,DF",22,2002,14,2,381,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,4,2,50.0,0.94,0.47,0.0,0.0,0,0,1,0,0,3,5,1,6,3,5,,,0
539665,Fredrik Oppegård,2002-08-07,23.0,Defender,Left-Back,left,175.0,Norway,Association de la Jeunesse auxerroise,1500000.0,1500000.0,32,1516,0,0,Lateral,Fredrik Oppegard,NOR,"MF,DF",22,2002,23,15,1246,13.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,10,2,20.0,0.72,0.14,0.0,0.0,0,0,1,1,0,8,8,2,48,14,20,,,0
539795,Bryan Okoh,2003-05-16,23.0,Defender,Centre-Back,left,191.0,Switzerland,Association de la Jeunesse auxerroise,4000000.0,4000000.0,13,1006,3,0,Zagueiro,Bryan Okoh,SUI,DF,22,2003,13,12,1005,11.2,3,0,3,3,0,0,2,0,0.27,0.0,0.27,0.27,0.27,3,8,3,37.5,0.72,0.27,0.38,1.0,0,0,2,0,0,13,8,0,0,26,9,,,0
548254,Nathan Ngoy,2003-06-10,23.0,Defender,Centre-Back,right,183.0,Belgium,Lille Olympique Sporting Club,25000000.0,25000000.0,29,2404,1,2,Zagueiro,Nathan Ngoy,BEL,DF,22,2003,29,27,2405,26.7,1,2,3,1,0,0,10,1,0.04,0.07,0.11,0.04,0.11,1,22,6,27.3,0.82,0.22,0.05,0.17,0,0,10,1,0,20,11,0,6,38,21,,,0
557612,Sékou Mara,2002-07-30,23.0,Attack,Centre-Forward,right,183.0,France,Association de la Jeunesse auxerroise,4000000.0,12000000.0,86,3109,11,5,Centroavante,Sekou Mara,FRA,FW,23,2002,27,14,1226,13.6,3,2,5,3,0,0,0,0,0.22,0.15,0.37,0.22,0.37,3,33,12,36.4,2.42,0.88,0.09,0.25,0,0,0,0,0,27,27,2,0,3,7,,,0
559328,Emmanuel Emegha,2003-02-03,23.0,Attack,Centre-Forward,right,196.0,Netherlands,Racing Club de Strasbourg Alsace,25000000.0,28000000.0,65,4836,26,7,Centroavante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565821,Mika Biereth,2003-02-08,23.0,Attack,Centre-Forward,right,187.0,Denmark,Association sportive de Monaco Football Club,15000000.0,30000000.0,48,2302,15,4,Centroavante,Mika Biereth,DEN,FW,22,2003,32,12,1074,11.9,2,2,4,2,0,0,0,0,0.17,0.17,0.34,0.17,0.34,2,19,7,36.8,1.59,0.59,0.11,0.29,0,0,0,0,0,16,14,9,9,0,7,,,0
569385,Adil Aouchiche,2002-07-15,23.0,Midfield,Attacking Midfield,right,181.0,,Football Club Lorient-Bretagne Sud,2200000.0,10000000.0,81,3108,2,9,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
