player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY_x,Performance_CrdR_x,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_CrdY_y,Performance_CrdR_y,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
432298,Zion Suzuki,2002-08-21,23.0,Goalkeeper,Goalkeeper,right,190.0,Japan,Parma Calcio 1913,20000000.0,20000000.0,57,5115,0,0,Goleiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470391,Jayden Braaf,2002-08-31,23.0,Attack,Left Winger,right,181.0,Netherlands,Verona Hellas Football Club,800000.0,3000000.0,10,403,1,0,Ponta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487474,Francisco Conceição,2002-12-14,23.0,Attack,Right Winger,left,166.0,Portugal,Juventus Football Club,30000000.0,36000000.0,57,3436,6,9,Ponta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503881,Aster Vranckx,2002-10-04,23.0,Midfield,Central Midfield,right,183.0,Belgium,Unione Sportiva Sassuolo Calcio,5000000.0,12000000.0,25,927,0,1,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503991,Yunus Musah,2002-11-29,23.0,Midfield,Central Midfield,right,178.0,United States,Atalanta Bergamasca Calcio S.p.a.,14000000.0,25000000.0,79,3695,1,4,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557407,Devyne Rensch,2003-01-18,23.0,Defender,Right-Back,right,181.0,Netherlands,Associazione Sportiva Roma,8500000.0,12000000.0,38,1643,1,6,Lateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568333,Adam Obert,2002-08-23,23.0,Defender,Left-Back,left,188.0,Slovakia,Cagliari Calcio,7000000.0,7000000.0,79,5071,1,4,Lateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569939,Tommaso Barbieri,2002-08-26,23.0,Defender,Right-Back,right,181.0,Italy,Unione Sportiva Cremonese S.p.A.,3800000.0,4000000.0,32,1813,0,1,Lateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571604,Giorgio Scalvini,2003-12-11,22.0,Defender,Centre-Back,right,194.0,Italy,Atalanta Bergamasca Calcio S.p.a.,38000000.0,45000000.0,113,7747,7,5,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571607,Fabio Miretti,2003-08-03,22.0,Midfield,Central Midfield,right,180.0,Italy,Juventus Football Club,15000000.0,16000000.0,100,4638,5,9,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
