liga,name,posicao_projeto,idade,current_club_name,country_of_citizenship,dados_completos,partidas_jogadas,minutos_jogados,gols,assistencias,gols_90,assistencias_90,finalizacoes_alvo_90,cruzamentos_90,desarmes_90,interceptacoes_90,gols_90_norm,assistencias_90_norm,finalizacoes_alvo_90_norm,cruzamentos_90_norm,desarmes_90_norm,interceptacoes_90_norm,market_value_in_eur,score
bundesliga,Mio Backhaus,Goleiro,22.0,Sportverein Werder Bremen von 1899,Germany,True,32.0,2880.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,0.1790123456790123
bundesliga,Nnamdi Collins,Zagueiro,22.0,Eintracht Frankfurt Fußball AG,Germany,True,49.0,3072.0,2,3,0.05859375,0.087890625,0.059880239520958,0.2395209580838323,2.275449101796408,1.437125748502994,0.0557291666666666,0.1310221354166666,0.0188195038494439,0.0225004536381781,0.4550898203592814,0.5487207403375068,20000000.0,2.5095264017419705
bundesliga,Tim Oermann,Zagueiro,22.0,Bayer 04 Leverkusen Fußball,Germany,True,51.0,3134.0,0,2,0.0,0.0574345883854499,0.0,0.0,5.0,0.0,0.0,0.0856200808338651,0.0,0.0,1.0,0.0,4000000.0,2.5
bundesliga,Max Finkgräfe,Lateral,22.0,RasenBallsport Leipzig,Germany,True,37.0,2259.0,2,1,0.0796812749003984,0.0398406374501992,0.3571428571428571,6.607142857142858,2.142857142857143,1.4285714285714286,0.0757857459052678,0.0593920613840932,0.1122448979591836,0.6206709956709958,0.4285714285714286,0.5454545454545455,5000000.0,1.7886975426816067
bundesliga,William Mikelbrencis,Lateral,22.0,Hamburger Sport Verein,France,True,26.0,1372.0,0,4,0.0,0.2623906705539358,0.3947368421052631,3.5526315789473686,1.4473684210526316,0.3947368421052631,0.0,0.391156462585034,0.1240601503759398,0.333732057416268,0.2894736842105263,0.1507177033492823,3000000.0,1.7392507242131303
bundesliga,Leon Avdullahu,Volante,22.0,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,Kosovo,True,33.0,2838.0,0,1,0.0,0.0317124735729386,0.0634920634920634,0.4761904761904761,0.9523809523809524,1.0476190476190477,0.0,0.0472750763448437,0.019954648526077,0.0447330447330447,0.1904761904761904,0.4,30000000.0,1.2045899191248028
bundesliga,Can Uzun,Meia,20.0,Eintracht Frankfurt Fußball AG,Türkiye,True,41.0,1832.0,12,7,0.5895196506550218,0.343886462882096,1.484375,1.875,0.703125,0.234375,0.5606986899563319,0.5126455604075691,0.4665178571428571,0.1761363636363636,0.140625,0.0894886363636363,45000000.0,2.8354704247717346
bundesliga,Lennart Karl,Meia,18.0,FC Bayern München,Germany,True,26.0,1282.0,5,6,0.3510140405616225,0.421216848673947,1.4788732394366195,2.0422535211267605,1.0563380281690142,0.7746478873239437,0.3338533541341654,0.6279251170046803,0.4647887323943662,0.1918480580452411,0.2112676056338028,0.295774647887324,60000000.0,2.743330117327613
bundesliga,Ayoube Amaimouni-Echghouyab,Ponta,21.0,Eintracht Frankfurt Fußball AG,Morocco,True,17.0,580.0,2,3,0.3103448275862069,0.4655172413793103,0.0,0.0,0.0,0.0,0.2951724137931034,0.6939655172413793,0.0,0.0,0.0,0.0,10000000.0,2.9674137931034483
bundesliga,Bazoumana Touré,Ponta,20.0,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,Cote d'Ivoire,True,43.0,2935.0,5,15,0.1533219761499148,0.4599659284497444,0.5078125,4.609375,0.859375,0.234375,0.1458262350936967,0.6856899488926746,0.1595982142857142,0.433001893939394,0.171875,0.0894886363636363,40000000.0,2.9275504458985084
bundesliga,Abdoulie Ceesay,Centroavante,22.0,Fußball-Club St. Pauli von 1910,The Gambia,True,27.0,373.0,3,1,0.7238605898123325,0.2412868632707774,1.081081081081081,0.5405405405405405,0.5405405405405405,0.0,0.6884718498659518,0.3596961572832887,0.3397683397683397,0.0507780507780507,0.1081081081081081,0.0,1000000.0,3.7931202362837753
